Name of institution,Type of institution,Level,Country,State/Province,City,Website,Area of study,Programme,
University of New England,Public ,,Australia,New South Wales,Armidale,une.edu.au,"Agriculture and Veterinary Medicine,Business and Management,Computer Science and IT,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,","agriculture consulting and farm management,agriculture economics,agriculture systems,precision agriculture,sustainable farming,plant science,weed science,animal health and welfare,animal nutition,Accounting ,Marketing,Commerce,Management,Organisational leadership,Financial services,Human Resource management,Computer science,Agriulture engineering,Exercise and sports science,Physical activity and health science,Exercise and health science,Biomedical science,Public health,Complemantary and allied health,Health practice anf community services,Nursing,Pharmacy,Psychology,Asian studies,English,Writing,History,Local, family and applied history,Classics and ancient history,Laws,Criminology,Media and communication,Econometrics,Social work,Chinese/French/German/Indonesian/Italan/Japanese/Spanish,Linguistics,Social work,Counselling,Sociology,sustainable grains production,ecosystem management,aquatic ecology and management,Geographic information systems,Geography and planning,genetics,soil science,wildlife ecology and mangement,physics and electronics,chemistry,earth science",
Charles Sturt University,Public ,,Australia,New South Wales,Bathurst,csu.edu.au,"Agriculture and Veterinary Medicine,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Enviromnment,","Agriculture business management,Agriculture science,agriculture,Horticulture,sustainable agriculture,veterinary biology/vetrinary science,veterinary technology,plant science,wine business,accounting,banking and finance,commerce,human resource management ,management,marketing,Computer Science ,IT,mobile applications development,networking and systems development,information security,systems development,Design,Graphic design,Civil engineering,Geotechnical engineering,Structual engineering,Water engineering,exercise and sport science,emergency health care,health and rehabilitation,mental health,paramedicine,pharmacy,physiotherapy,dental implantology,dental science,medical science,oral health,pathology,midwifery,nursing,psychology,art histor and visual culture,classic Arabic,Islamic studies,criminal justice,criminology,justice studies (policing),Law,advertising,animation and visual effects,communication,multiplatform production,journalism and international studies,media practice,journalism and international studies,organisational communication,photography,public relations,radio,theatre/media,television production,social work,social welfare,social science (psychology),hotel management,ecotourism,outdoor recreation,parks, recreation and heritage,enviromental science,natural resource management",
Australian National University,Public ,,Australia,New South Wales,Canberra,anu.edu.au,"Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Health and Medicine,Humantities,Law,Social Studies and Media,Environment,","accounting,business administration,commerce,finance,finance, economics and statistic,international business,finance and actuarial statistic,management,entrepreneurship and innovation,financial economics,financial management,international management,marketing management,business information system,advanced computing,IT,Computing,applied data analytics,design,design arts,creative design,digital arts,Engineering,software engineering,medical science,psychology,medicine,clinical psychology,culture health and medicine,medicien and surgery,philosophy (clinical psychology),public health,art history and cutanorship,classical sudies,languages,Latin American studies,Middle Eastern and central asian studies,languages,history,islam and the mordern world,museum and heritage studies,asian studies,asia-pacific studies,pacific studies,criminology,Laws,juridical science,international relations,diplomacy,economics,social science,international and development economics,social research,globalisation,environmental studies,environment and sustainabality,climate change,environmental and resource economics,environmental management and development,environment,environmental science",
University of Canberra,Public ,,Australia,New South Wales,Canberra,canberra.edu.au,"Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Enviroment,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality","Landscape design,Interior architecture,arts in architecture,building and construction management,landscape architecture,marketing mangement,management,international business,commerce,human resource management,business administration,applied entrepreneurship (social entrepreneurship) (online),business informatics,information sciences,information technology,web design and production,games and interactive design,mathematics and computing technology studies,arts and designs,design,graphic design,industrial design,software engineering,network and software engineering,science,enviromental science,sport and execise science,sport management,sport studies,pharmacy,midwifery,nursing,health science,physiotherapy,public health,health studies,human nutrition,exercise physiology and rehabilitation,science in psychology,medical science,pharmaceutical science,biomedical science,Heritage, museums and conservation,writing,applied science in forensic studies,forensic studies,laws,justice studies,social science,politics and international relations,applied economics,communication in advertising,communication in media and public affairs,communication in public relations,media arts and production,sport media,film production,journalism,communication,event and tourism management",
Southern Cross University,Public ,,Australia,New South Wales,Lismore,scu.edu.au,"Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Environment,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,","Associate degree,Bachelor,Diploma,Doctor,Graduate certificate,Graduate diploma,Master,Associate degree,Bachelor,Master,Associate degree,Bachelor,Bachelor,Master,Bachelor,Graduate diploma,Master,Associate degree,Bachelor,Graduate certificate,Master,Associate degree,Bachelor,Master,Associate degree,Bachelor,Bachelor,Master,Bachelor,Graduate certificate,Graduate diploma,Le Cordon Bleu Graduate Diploma,Master",
University of Newcastle,Public ,,Australia,New South Wales,Newcastle,newcastle.edu.au,,,
Australian Catholic University,Public ,,Australia,New South Wales,Sydney,acu.edu.au,"Business and Management,Computer Science and IT,Creative Arts and Design,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Environment","accounting and finance,business and communicatios studies,commerce,business administration,business information system,IT,creative arts,digital media,visual arts and design,exercise science,exercise and health science,exercise and sport science,clinical exercis physiology,applied public health,psychology,public health,nursing,physical activity and health science,physiotherapy,psychological science,health administration,rehabilitation,clinicla psychology,occupational therapy,languages,Laws,global studies,international development studies,social work,youth work,Enviromental science",
Macqurie University,Public ,,Australia,New South Wales,Sydney,mq.edu.au,"Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Environment,Health and Medicine,Humantities,Social Studies and Media,Law,","Urban planning,Accounting,business administration,Comerce,Economics,Finance,Human resources,international business,management,Marketing,Computer science,Informationsystems,Software development,Web design and development,Games design and development,Wireless engineering,Telecommunications engineering,Robotics,Mechanical engineering,Electronics,Animal behavior,climate change,Conservation,earth science,Ecology,Environmental management,Environmental science,Geographic information science,Geology and geophysics,Marine biology,Chiropractic,Cognitive and brain science,medical science,physiotherapy,Psychology,Public health,Ancient history,Anthropology,Cultural studies,Development studies and culture change,English literature,Indigenous studies,languages,Linguistics,Modern history,Translating and interpreting,Creative writing,Sociology,Social science,international relations,International studies,Gender studies,Community services,Communications,Film,Journalism,Media,Commercial law,criminology,Enviromental law,International law,Law and the media,Social justice",
University of New South Wales,Public ,,Australia,New South Wales,Sydney,unsw.edu.au,"Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Environment,","Architecture and design,Urbanism,Accounting,Actuarial studies,Business strategy,Business technology,Finance,Human resource management,International business,Management,Marketing,Risk management,Social impact ,Taxation,Computer science and engineering,Information systems,Design,Arts and media,Biomadical engineering,Chemical engineering,Civil and environment engineering,Computer science and engineering,Electrical engineering and telecommunications,Mechanical and manufacturing engineering,Mining engineering,Petroleum engineering,Photoviltaic and renewable energy engineering,Engineering,Material science and engineering,Exercise physiology,Medical science,Medicine,Psychiatry,Public healt and community medicine,Rural health,Surgery,Women's and children's health,Psychology,Optometry and vision science,Humanities and languages,Business law,Corporate and commercial law,Criminal justice and crimonoly,Environmental law,Human rights law,Innovation law,International business and economic law,International law,Law,Law ad business,Media and technology law,Taxation law,Economics,Media,Social science,Arts and media,Aviation,Biological, earth and environmental sciences,Biotechnology and biomolecular sciences",
University of Sydney,Public ,,Australia,New South Wales,Sydney,sydney.edu.au,"Agriculture and Veterinary Medicine,Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Health and Medicine,Humantities,Law,Social Studies and Media,","Bachelor,Doctor,Graduate certificate,Graduate diploma,Master,Undergraduate cross-institution,Undergraduate non-degree,Bachelor,Graduate certificate,Graduate diploma,Doctor,Master,Undergraduate non-degree,Undergraduate cross-institutional,Bachelor,Excutive master,Master,Graduate diploma,Graduate certificate,Postgraduate cross-institution,Postgraduate non-degree,Doctor,Bachelor,Doctor,Graduate certificate,Graduate diploma,Master,Undergraduate cross-institution,Undergraduate non-degree,Bachelor,Diploma,Doctor,Excutive master,Graduate certificate,Graduate diploma,Master,Undergraduate cross-institution,Undergraduate non-degree,Postgraduate cross-institution,Postgraduate non-degree,Bachelor,Doctor,Graduate certificate,Graduate diploma,Master,Undergraduate cross-institution,Undergraduate non-degree,Bachelor,Doctor,Graduate certificate,Graduate diploma,Master,Undergraduate cross-institurion,Undergraduate non-degree,Postgraduate cross-institution,Postgraduate non award,Bachelor,Diploma,Graduate certificate,Graduate diploma,Master,Bachelor,Doctor,Graduate certificae,Graduate diploma,Juris Doctor,Master,Undergraduate cross-institution,Undergraduate non-degree,Postgraduate cross-institution,Postgraduate non-degree,Bachelor,Doctor,Excutive master,Graduate certificate,Graduate diploma,Master,Postgraduate cross-institution,Postgraduate non award,Diploma",
